val_loss,auc,val_Accuracy,val_F1,val_Recall,val_Precision,epoch,step
0.72265625,0.3125,0.37037035822868347,0.3668965697288513,0.3693181872367859,0.37362638115882874,0,121
0.73388671875,0.375,0.5925925970077515,0.44277673959732056,0.5142045617103577,0.550000011920929,1,243
0.88037109375,0.39204543828964233,0.37037035822868347,0.2702702581882477,0.4545454680919647,0.19230769574642181,2,365
0.71484375,0.5511363744735718,0.5185185074806213,0.4000000059604645,0.45170456171035767,0.40760868787765503,3,487
0.79736328125,0.7329545021057129,0.5185185074806213,0.4935065507888794,0.5795454978942871,0.6272727251052856,4,609
0.75634765625,0.7329545021057129,0.5185185074806213,0.5077139139175415,0.5653408765792847,0.5821428298950195,5,731
0.445068359375,0.8522727489471436,0.7777777910232544,0.75,0.7414772510528564,0.8035714626312256,6,853
0.669921875,0.7215909361839294,0.6296296119689941,0.6164772510528564,0.6164772510528564,0.6164772510528564,7,975
0.4853515625,0.9147727489471436,0.7407407164573669,0.7407407164573669,0.7670454978942871,0.7670454978942871,8,1097
0.365478515625,0.9147727489471436,0.8518518805503845,0.8411765098571777,0.8323863744735718,0.8611111044883728,9,1219
0.7158203125,0.8295454978942871,0.7037037014961243,0.7032966613769531,0.7357954978942871,0.7441176176071167,10,1341
0.3193359375,0.9488636255264282,0.8518518805503845,0.8465908765792847,0.8465908765792847,0.8465908765792847,11,1463
0.36572265625,0.9375,0.8888888955116272,0.8863954544067383,0.8920454978942871,0.8833333253860474,12,1585
0.54296875,0.9090908765792847,0.8148148059844971,0.8051948547363281,0.8011363744735718,0.8117647171020508,13,1707
0.44580078125,0.9545454978942871,0.8148148059844971,0.8106591701507568,0.8153408765792847,0.8083333373069763,14,1829
0.86962890625,0.8409091234207153,0.8148148059844971,0.7969924807548523,0.7869318127632141,0.8322368860244751,15,1951
0.491943359375,0.9090908765792847,0.7777777910232544,0.7617647051811218,0.7556818127632141,0.7777777910232544,16,2073
0.54296875,0.9147726893424988,0.7777777910232544,0.7774724960327148,0.7982954978942871,0.7916666865348816,17,2195
0.53369140625,0.9318181872367859,0.8518518805503845,0.8411765098571777,0.8323863744735718,0.8611111044883728,18,2317
0.51318359375,0.9318181276321411,0.8888888955116272,0.8831168413162231,0.8778408765792847,0.8911764621734619,19,2439
0.525390625,0.9375,0.8888888955116272,0.8831168413162231,0.8778408765792847,0.8911764621734619,20,2561
0.52587890625,0.9375,0.8888888955116272,0.8831168413162231,0.8778408765792847,0.8911764621734619,21,2683
